"Year","Crop","Area"
1963,"Tobacco, unmanufactured",405
1963,"Tomatoes",53
1963,"Vegetables, fresh nes",2000
1963,"Walnuts, with shell",15
1963,"Watermelons",7
1963,"Wheat",13590
1964,"Anise, badian, fennel, coriander",100
1964,"Apples",26.5
1964,"Apricots",2.9
1964,"Areca nuts",135
1964,"Bananas",198
1964,"Barley",2774
1964,"Bastfibres, other",564
1964,"Beans, dry",7332.4
1964,"Beans, green",85
1964,"Berries nes",NA
1964,"Cabbages and other brassicas",24
1964,"Carrots and turnips",9.5
1964,"Cashew nuts, with shell",215
1964,"Cassava",244
1964,"Castor oil seed",441
1964,"Cauliflowers and broccoli",50
1964,"Cherries",1.3
1964,"Chick peas",9354
1964,"Chillies and peppers, dry",716
1964,"Chillies and peppers, green",3.1
1964,"Cocoa, beans",NA
1964,"Coconuts",848
1964,"Coffee, green",120
1964,"Cucumbers and gherkins",6.8
1964,"Eggplants (aubergines)",170
1964,"Figs",0.9
1964,"Fruit, citrus nes",2.5
1964,"Fruit, fresh nes",150
1964,"Fruit, stone nes",NA
1964,"Fruit, tropical fresh nes",235
1964,"Garlic",35
1964,"Ginger",23
1964,"Grapefruit (inc. pomelos)",1.5
1964,"Grapes",5.6
1964,"Groundnuts",7376
1964,"Jute",845.1
1964,"Lemons and limes",48
1964,"Lentils",785.3
1964,"Lettuce and chicory",61
1964,"Linseed",1995
1964,"Maize",4618
1964,"Mangoes, mangosteens, guavas",850
1964,"Melons, other (inc.cantaloupes)",10.5
1964,"Millet",18897.008
1964,"Nutmeg, mace and cardamoms",55
1964,"Oilseeds nes",490
1964,"Okra",170
1964,"Onions, dry",120
1964,"Oranges",56
1964,"Papayas",6
1964,"Peaches and nectarines",10
1964,"Pears",7.7
1964,"Peas, dry",1300.3
1964,"Peas, green",65
1964,"Pepper (piper spp.)",103
1964,"Pigeon peas",2517
1964,"Pineapples",18.3
1964,"Plums and sloes",3.7
1964,"Potatoes",415
1964,"Pulses, nes",3112
1964,"Pumpkins, squash and gourds",147
1964,"Rapeseed",3046
1964,"Rice",36462
1964,"Rubber, natural",74
1964,"Safflower seed",455
1964,"Seed cotton",8268
1964,"Sesame seed",2486
1964,"Sorghum",18056
1964,"Soybeans",18
1964,"Spices, nes",257
1964,"Sugar cane",2249
1964,"Sweet potatoes",130
1964,"Tea",341.762
1964,"Tobacco, unmanufactured",441
1964,"Tomatoes",55
1964,"Vegetables, fresh nes",2030
1964,"Walnuts, with shell",16
1964,"Watermelons",7.5
1964,"Wheat",13499
1965,"Anise, badian, fennel, coriander",100
1965,"Apples",21.7
1965,"Apricots",3
1965,"Areca nuts",131
1965,"Bananas",211
1965,"Barley",2682
1965,"Bastfibres, other",526
1965,"Beans, dry",7088.4
1965,"Beans, green",88
